disorder_cui|name|definition
C0024586|Malignant Carcinoid Syndrome|A symptom complex associated with CARCINOID TUMOR and characterized by attacks of severe flushing of the skin, diarrheal watery stools, bronchoconstriction, sudden drops in blood pressure, edema, and ascites. The carcinoid tumors are usually located in the gastrointestinal tract and metastasize to the liver. Symptoms are caused by tumor secretion of serotonin, prostaglandins, and other biologically active substances. Cardiac manifestations constitute CARCINOID HEART DISEASE. (Dorland, 27th ed; Stedman, 25th ed)
C0023522|Leukodystrophy, Metachromatic|An autosomal recessive metabolic disease caused by a deficiency of CEREBROSIDE-SULFATASE leading to intralysosomal accumulation of cerebroside sulfate (SULFOGLYCOSPHINGOLIPIDS) in the nervous system and other organs. Pathological features include diffuse demyelination, and metachromatically-staining granules in many cell types such as the GLIAL CELLS. There are several allelic and nonallelic forms with a variety of neurological symptoms.
C0013415|Dysthymic Disorder|Chronically depressed mood that occurs for most of the day more days than not for at least 2 years. The required minimum duration in children to make this diagnosis is 1 year. During periods of depressed mood, at least 2 of the following additional symptoms are present: poor appetite or overeating, insomnia or hypersomnia, low energy or fatigue, low self-esteem, poor concentration or difficulty making decisions, and feelings of hopelessness. (DSM-IV)
C0236736|Cocaine-Related Disorders|Disorders related or resulting from use of cocaine.
C0013884|Filarial Elephantiases|Parasitic infestation of the human lymphatic system by WUCHERERIA BANCROFTI or BRUGIA MALAYI. It is also called lymphatic filariasis.
C0034068|Pulmonary Eosinophilia|A condition characterized by infiltration of the lung with EOSINOPHILS due to inflammation or other disease processes. Major eosinophilic lung diseases are the eosinophilic pneumonias caused by infections, allergens, or toxic agents.
C0023968|Loiasis|A parasitic infection caused by the nematode Loa loa. The vector in the transmission of this infection is the horsefly (Tabanus) or the deerfly or mango fly (Chrysops). The larvae may be seen just beneath the skin or passing through the conjunctiva. Eye lesions are not uncommon. The disease is generally mild and painless.
C0007097|Carcinoma|A malignant neoplasm made up of epithelial cells tending to infiltrate the surrounding tissues and give rise to metastases. It is a histological type of neoplasm and not a synonym for cancer.
C0018188|Granuloma|A relatively small nodular inflammatory lesion containing grouped mononuclear phagocytes, caused by infectious and noninfectious agents.
C0036349|Paranoid Schizophrenia|A chronic form of schizophrenia characterized primarily by the presence of persecutory or grandiose delusions, often associated with hallucination.
C0079153|Hyperkeratosis, Epidermolytic|A form of congenital ichthyosis inherited as an autosomal dominant trait and characterized by ERYTHRODERMA and severe hyperkeratosis. It is manifested at birth by blisters followed by the appearance of thickened, horny, verruciform scales over the entire body, but accentuated in flexural areas. Mutations in the genes that encode KERATIN-1 and KERATIN-10 have been associated with this disorder.
C0151740|Intracranial Hypertension|Increased pressure within the cranial vault. This may result from several conditions, including HYDROCEPHALUS; BRAIN EDEMA; intracranial masses; severe systemic HYPERTENSION; PSEUDOTUMOR CEREBRI; and other disorders.
C0014738|Erysipelothrix rhusiopathiae|undefined
C0004589|Bacillus anthracis|A species of bacteria that causes ANTHRAX in humans and animals.
C0345905|Intrahepatic Cholangiocarcinoma|A carcinoma that originates in the intrahepatic bile duct epithelium of the intrahepatic biliary tree. Malignant lesions are solid, nodular, and grayish. Most cases are adenocarcinomas. Somatic mutations in BAP1, ARID1A, PBRM1, IDH1, and IDH2 genes have been identified. OMIM: 615619
C0042842|Vitamin A Deficiency|A nutritional condition produced by a deficiency of VITAMIN A in the diet, characterized by NIGHT BLINDNESS and other ocular manifestations such as dryness of the conjunctiva and later of the cornea (XEROPHTHALMIA). Vitamin A deficiency is a very common problem worldwide, particularly in developing countries as a consequence of famine or shortages of vitamin A-rich foods. In the United States it is found among the urban poor, the elderly, alcoholics, and patients with malabsorption. (From Cecil Textbook of Medicine, 19th ed, p1179)
C0043349|Xerophthalmia|Dryness of the eye surfaces caused by deficiency of tears or conjunctival secretions. It may be associated with vitamin A deficiency, trauma, or any condition in which the eyelids do not close completely.
C0028077|Nyctalopia|Failure or imperfection of vision at night or in dim light, with good vision only on bright days. (Dorland, 27th ed)
C0013264|Muscular Dystrophy, Duchenne|An X-linked recessive muscle disease caused by an inability to synthesize DYSTROPHIN, which is involved with maintaining the integrity of the sarcolemma. Muscle fibers undergo a process that features degeneration and regeneration. Clinical manifestations include proximal weakness in the first few years of life, pseudohypertrophy, cardiomyopathy (see MYOCARDIAL DISEASES), and an increased incidence of impaired mentation. Becker muscular dystrophy is a closely related condition featuring a later onset of disease (usually adolescence) and a slowly progressive course. (Adams et al., Principles of Neurology, 6th ed, p1415)
C0042165|Anterior uveitis|Inflammation of the anterior uvea comprising the iris, angle structures, and the ciliary body. Manifestations of this disorder include ciliary injection, exudation into the anterior chamber, iris changes, and adhesions between the iris and lens (posterior synechiae). Intraocular pressure may be increased or reduced.
C0016059|Fibrosis|Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury.
C0011633|Dermatomyositis|A subacute or chronic inflammatory disease of muscle and skin, marked by proximal muscle weakness and a characteristic skin rash. The illness occurs with approximately equal frequency in children and adults. The skin lesions usually take the form of a purplish rash (or less often an exfoliative dermatitis) involving the nose, cheeks, forehead, upper trunk, and arms. The disease is associated with a complement mediated intramuscular microangiopathy, leading to loss of capillaries, muscle ischemia, muscle-fiber necrosis, and perifascicular atrophy. The childhood form of this disease tends to evolve into a systemic vasculitis. Dermatomyositis may occur in association with malignant neoplasms. (From Adams et al., Principles of Neurology, 6th ed, pp1405-6)
C0039231|Tachycardia|Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults. Tachycardia accompanied by disturbance in the cardiac depolarization (cardiac arrhythmia) is called tachyarrhythmia.
C0751249|Chronic Insomnia|undefined
C1827301|Extensively Drug-Resistant Tuberculosis|Tuberculosis resistant to ISONIAZID and RIFAMPIN and at least three of the six main classes of second-line drugs (AMINOGLYCOSIDES; polypeptide agents; FLUOROQUINOLONES; THIOAMIDES; CYCLOSERINE; and PARA-AMINOSALICYLIC ACID) as defined by the CDC.
C0037268|Congenital anomaly of skin|Congenital structural abnormalities of the skin.
C0024286|Lymphogranuloma Venereum|Subacute inflammation of the inguinal lymph glands caused by certain immunotypes of CHLAMYDIA TRACHOMATIS. It is a sexually transmitted disease in the U.S. but is more widespread in developing countries. It is distinguished from granuloma venereum (see GRANULOMA INGUINALE), which is caused by Calymmatobacterium granulomatis.
C0021141|Inappropriate ADH Syndrome|A condition of HYPONATREMIA and renal salt loss attributed to overexpansion of BODY FLUIDS resulting from sustained release of ANTIDIURETIC HORMONES which stimulates renal resorption of water. It is characterized by normal KIDNEY function, high urine OSMOLALITY, low serum osmolality, and neurological dysfunction. Etiologies include ADH-producing neoplasms, injuries or diseases involving the HYPOTHALAMUS, the PITUITARY GLAND, and the LUNG. This syndrome can also be drug-induced.
C0206664|Teratocarcinoma|A malignant neoplasm consisting of elements of teratoma with those of embryonal carcinoma or choriocarcinoma, or both. It occurs most often in the testis. (Dorland, 27th ed)
C0029134|Optic Neuritis|Inflammation of the optic nerve. Commonly associated conditions include autoimmune disorders such as MULTIPLE SCLEROSIS, infections, and granulomatous diseases. Clinical features include retro-orbital pain that is aggravated by eye movement, loss of color vision, and contrast sensitivity that may progress to severe visual loss, an afferent pupillary defect (Marcus-Gunn pupil), and in some instances optic disc hyperemia and swelling. Inflammation may occur in the portion of the nerve within the globe (neuropapillitis or anterior optic neuritis) or the portion behind the globe (retrobulbar neuritis or posterior optic neuritis).
C0007462|Causalgia|A complex regional pain syndrome characterized by burning pain and marked sensitivity to touch (HYPERESTHESIA) in the distribution of an injured peripheral nerve. Autonomic dysfunction in the form of sudomotor (i.e., sympathetic innervation to sweat glands), vasomotor, and trophic skin changes may also occur. (Adams et al., Principles of Neurology, 6th ed, p1359)
C0003851|Arteriosclerosis Obliterans|Common occlusive arterial disease which is caused by ATHEROSCLEROSIS. It is characterized by lesions in the innermost layer (ARTERIAL INTIMA) of arteries including the AORTA and its branches to the extremities. Risk factors include smoking, HYPERLIPIDEMIA, and HYPERTENSION.
C0031190|Persistent Fetal Circulation Syndrome|A syndrome of persistent PULMONARY HYPERTENSION in the newborn infant (INFANT, NEWBORN) without demonstrable HEART DISEASES. This neonatal condition can be caused by severe pulmonary vasoconstriction (reactive type), hypertrophy of pulmonary arterial muscle (hypertrophic type), or abnormally developed pulmonary arterioles (hypoplastic type). The newborn patient exhibits CYANOSIS and ACIDOSIS due to the persistence of fetal circulatory pattern of right-to-left shunting of blood through a patent ductus arteriosus (DUCTUS ARTERIOSUS, PATENT) and at times a patent foramen ovale (FORAMEN OVALE, PATENT).
